,Year,State,Population
5523,2015,NEBRASKA,"57,000"
5524,2015,NEW JERSEY,"12,000"
5525,2015,NEW YORK,"58,000"
5526,2015,NORTH CAROLINA,"12,000"
5527,2015,NORTH DAKOTA,"490,000"
5528,2015,OHIO,"17,000"
5529,2015,OREGON,"71,000"
5530,2015,OTHER STATES,"30,000"
5531,2015,PENNSYLVANIA,"17,000"
5532,2015,SOUTH CAROLINA,"14,000"
5533,2015,SOUTH DAKOTA,"290,000"
5534,2015,TENNESSEE,"7,000"
5535,2015,TEXAS,"126,000"
5536,2015,UTAH,"27,000"
5537,2015,VERMONT,"5,000"
5538,2015,VIRGINIA,"5,000"
5539,2015,WASHINGTON,"73,000"
5540,2015,WEST VIRGINIA,"5,000"
5541,2015,WISCONSIN,"52,000"
5542,2015,WYOMING,"38,000"
7199,2014,ALABAMA,"7,000"
7200,2014,ARIZONA,"26,000"
7201,2014,ARKANSAS,"21,000"
7202,2014,CALIFORNIA,"320,000"
7203,2014,COLORADO,"27,000"
7204,2014,FLORIDA,"245,000"
7205,2014,GEORGIA,"73,000"
7206,2014,HAWAII,"15,000"
7207,2014,IDAHO,"100,000"
7208,2014,ILLINOIS,"8,000"
7209,2014,INDIANA,"5,000"
7210,2014,IOWA,"35,000"
7211,2014,KANSAS,"7,000"
7212,2014,KENTUCKY,"5,000"
7213,2014,LOUISIANA,"48,000"
7214,2014,MAINE,"8,000"
7215,2014,MICHIGAN,"91,000"
7216,2014,MINNESOTA,"132,000"
7217,2014,MISSISSIPPI,"20,000"
7218,2014,MISSOURI,"12,000"
7219,2014,MONTANA,"162,000"
7220,2014,NEBRASKA,"50,000"
7221,2014,NEW JERSEY,"12,000"
7222,2014,NEW YORK,"60,000"
7223,2014,NORTH CAROLINA,"12,000"
7224,2014,NORTH DAKOTA,"490,000"
7225,2014,OHIO,"15,000"
7226,2014,OREGON,"71,000"
7227,2014,OTHER STATES,"31,000"
7228,2014,PENNSYLVANIA,"17,000"
7229,2014,SOUTH CAROLINA,"9,000"
7230,2014,SOUTH DAKOTA,"280,000"
7231,2014,TENNESSEE,"7,000"
7232,2014,TEXAS,"116,000"
7233,2014,UTAH,"29,000"
7234,2014,VERMONT,"4,000"
7235,2014,VIRGINIA,"6,000"
7236,2014,WASHINGTON,"68,000"
7237,2014,WEST VIRGINIA,"6,000"
7238,2014,WISCONSIN,"53,000"
7239,2014,WYOMING,"38,000"
7240,2013,ALABAMA,"7,000"
7241,2013,ARIZONA,"29,000"
7242,2013,ARKANSAS,"22,000"
7243,2013,CALIFORNIA,"330,000"
7244,2013,COLORADO,"26,000"
7245,2013,FLORIDA,"220,000"
7246,2013,GEORGIA,"67,000"
7247,2013,HAWAII,"13,000"
7248,2013,IDAHO,"83,000"
7249,2013,ILLINOIS,"7,000"
